發生年度,發生月份,發生日期,發生時間,發生地點,發生縣市,發生區鄉,天候名稱,道路類別,事故位置子類別名稱,事故類型及型態子類別名稱,肇因研判子類別名稱,死亡人數,受傷人數,當事者車種,當事者屬-性-別名稱,當事者事故發生時年齡,是否使用3C產品
2023,1,20230101,14,雲林縣崙背鄉五魁村雲11鄉道路燈桿225403號處,雲林縣,崙背鄉,晴,村里道路,一般車道(未劃分快慢車道),撞路樹、電桿,逆向行駛,1,0,機車,男,44,未使用
2023,1,20230101,14,雲林縣崙背鄉五魁村雲11鄉道路燈桿225403號處,雲林縣,崙背鄉,晴,村里道路,一般車道(未劃分快慢車道),撞路樹、電桿,逆向行駛,1,0,不明,無或物(動物、堆置物),-1,不明
2023,1,20230101,14,臺南市北門區錦湖里區道南2線東側 / 臺南市北門區錦湖里省道臺17線北側,臺南市,北門區,陰,省道,交叉路口內,撞護欄(樁),酒醉(後)駕駛失控,3,2,小客車,男,20,未使用
2023,1,20230101,14,臺南市北門區錦湖里區道南2線東側 / 臺南市北門區錦湖里省道臺17線北側,臺南市,北門區,陰,省道,交叉路口內,撞護欄(樁),酒醉(後)駕駛失控,3,2,不明,無或物(動物、堆置物),-1,不明
2023,1,20230101,14,臺南市北門區錦湖里區道南2線東側 / 臺南市北門區錦湖里省道臺17線北側,臺南市,北門區,陰,省道,交叉路口內,撞護欄(樁),酒醉(後)駕駛失控,3,2,人,男,19,不明
2023,1,20230101,14,臺南市北門區錦湖里區道南2線東側 / 臺南市北門區錦湖里省道臺17線北側,臺南市,北門區,陰,省道,交叉路口內,撞護欄(樁),酒醉(後)駕駛失控,3,2,人,男,22,不明
2023,1,20230101,14,臺南市北門區錦湖里區道南2線東側 / 臺南市北門區錦湖里省道臺17線北側,臺南市,北門區,陰,省道,交叉路口內,撞護欄(樁),酒醉(後)駕駛失控,3,2,人,男,17,非駕駛人
2023,1,20230101,14,臺南市北門區錦湖里區道南2線東側 / 臺南市北門區錦湖里省道臺17線北側,臺南市,北門區,陰,省道,交叉路口內,撞護欄(樁),酒醉(後)駕駛失控,3,2,人,女,15,非駕駛人
2023,1,20230101,19,新竹市東區光復路二段與食品路口,新竹市,東區,晴,市區道路,交叉路口內,側撞,未依規定讓車,1,1,機車,男,29,未使用
2023,1,20230101,19,新竹市東區光復路二段與食品路口,新竹市,東區,晴,市區道路,交叉路口內,側撞,未依規定讓車,1,1,機車,男,60,未使用
2023,1,20230102,8,桃園市八德區新興路741號前0.0公尺,桃園市,八德區,雨,市區道路,一般車道(未劃分快慢車道),對撞,逆向行駛,1,2,小客車,男,23,未使用
2023,1,20230102,8,桃園市八德區新興路741號前0.0公尺,桃園市,八德區,雨,市區道路,一般車道(未劃分快慢車道),對撞,逆向行駛,1,2,機車,男,36,未使用
2023,1,20230102,8,桃園市八德區新興路741號前0.0公尺,桃園市,八德區,雨,市區道路,一般車道(未劃分快慢車道),對撞,逆向行駛,1,2,機車,女,73,未使用
2023,1,20230102,13,新北市新莊區新北市新莊區新北大道4段244556燈桿旁,新北市,新莊區,晴,市區道路,一般車道(未劃分快慢車道),撞交通島,不明原因肇事,1,0,機車,男,23,未使用
2023,1,20230102,13,新北市新莊區新北市新莊區新北大道4段244556燈桿旁,新北市,新莊區,晴,市區道路,一般車道(未劃分快慢車道),撞交通島,不明原因肇事,1,0,不明,無或物(動物、堆置物),0,不明
2023,1,20230102,13,臺南市官田區社子里市道171線29.4公里處路段,臺南市,官田區,雨,縣道,其他,其他,酒醉(後)駕駛失控,1,1,小貨車(含客、貨兩用),男,62,不明
2023,1,20230102,13,臺南市官田區社子里市道171線29.4公里處路段,臺南市,官田區,雨,縣道,其他,其他,酒醉(後)駕駛失控,1,1,機車,男,21,不明
2023,1,20230102,14,新北市新店區新北市新店區北宜路3段與北宜路3段143697路燈旁,新北市,新店區,雨,省道,一般車道(未劃分快慢車道),路上翻車、摔倒,未注意車前狀態,1,1,機車,男,30,未使用
2023,1,20230102,14,新北市新店區新北市新店區北宜路3段與北宜路3段143697路燈旁,新北市,新店區,雨,省道,一般車道(未劃分快慢車道),路上翻車、摔倒,未注意車前狀態,1,1,不明,無或物(動物、堆置物),0,不明
2023,1,20230102,14,新北市新店區新北市新店區北宜路3段與北宜路3段143697路燈旁,新北市,新店區,雨,省道,一般車道(未劃分快慢車道),路上翻車、摔倒,未注意車前狀態,1,1,人,女,29,未使用
2023,1,20230103,14,高雄市鳥松區大昌路 / 高雄市鳥松區昌隆街,高雄市,鳥松區,晴,市區道路,交叉路口內,路口交岔撞,未依規定讓車,1,1,機車,男,54,未使用
2023,1,20230103,14,高雄市鳥松區大昌路 / 高雄市鳥松區昌隆街,高雄市,鳥松區,晴,市區道路,交叉路口內,路口交岔撞,未依規定讓車,1,1,小客車,男,49,未使用
2023,1,20230103,14,高雄市鳥松區大昌路 / 高雄市鳥松區昌隆街,高雄市,鳥松區,晴,市區道路,交叉路口內,路口交岔撞,未依規定讓車,1,1,人,女,54,非駕駛人
2023,1,20230104,6,南投縣南投市菓稟路11號前0.0公尺,南投縣,南投市,晴,村里道路,一般車道(未劃分快慢車道),同向通行中,未注意車前狀態,1,0,小貨車(含客、貨兩用),男,62,未使用
2023,1,20230104,6,南投縣南投市菓稟路11號前0.0公尺,南投縣,南投市,晴,村里道路,一般車道(未劃分快慢車道),同向通行中,未注意車前狀態,1,0,人,女,65,非駕駛人
2023,1,20230104,16,桃園市中壢區崇德二路口 / 桃園市中壢區崇德三路口,桃園市,中壢區,晴,市區道路,交叉路口內,路口交岔撞,未依規定讓車,1,2,小貨車(含客、貨兩用),男,38,未使用
2023,1,20230104,16,桃園市中壢區崇德二路口 / 桃園市中壢區崇德三路口,桃園市,中壢區,晴,市區道路,交叉路口內,路口交岔撞,未依規定讓車,1,2,小貨車(含客、貨兩用),男,35,未使用
2023,1,20230104,16,桃園市中壢區崇德二路口 / 桃園市中壢區崇德三路口,桃園市,中壢區,晴,市區道路,交叉路口內,路口交岔撞,未依規定讓車,1,2,人,男,61,非駕駛人
2023,1,20230105,6,新北市五股區新北市五股區中興路2段108號前,新北市,五股區,晴,市區道路,一般車道(未劃分快慢車道),其他,未注意車前狀態,1,3,小客車,男,39,未使用
2023,1,20230105,6,新北市五股區新北市五股區中興路2段108號前,新北市,五股區,晴,市區道路,一般車道(未劃分快慢車道),其他,未注意車前狀態,1,3,機車,男,49,未使用
2023,1,20230105,6,新北市五股區新北市五股區中興路2段108號前,新北市,五股區,晴,市區道路,一般車道(未劃分快慢車道),其他,未注意車前狀態,1,3,人,女,30,未使用
2023,1,20230105,6,新北市五股區新北市五股區中興路2段108號前,新北市,五股區,晴,市區道路,一般車道(未劃分快慢車道),其他,未注意車前狀態,1,3,人,女,13,未使用
2023,1,20230105,10,高雄市楠梓區清豐路 / 高雄市楠梓區土庫六路,高雄市,楠梓區,晴,市區道路,交叉路口內,側撞,未依規定讓車,1,0,小客車,女,54,未使用
2023,1,20230105,10,高雄市楠梓區清豐路 / 高雄市楠梓區土庫六路,高雄市,楠梓區,晴,市區道路,交叉路口內,側撞,未依規定讓車,1,0,機車,男,77,未使用
2023,1,20230105,12,彰化縣彰化市牛埔里彰興路2段438號前0.0公尺,彰化縣,彰化市,晴,市區道路,機車優先道,同向擦撞,疲勞(患病)駕駛失控,1,1,小客車,女,41,未使用
2023,1,20230105,12,彰化縣彰化市牛埔里彰興路2段438號前0.0公尺,彰化縣,彰化市,晴,市區道路,機車優先道,同向擦撞,疲勞(患病)駕駛失控,1,1,機車,女,65,未使用
2023,1,20230105,12,彰化縣彰化市牛埔里彰興路2段438號前0.0公尺,彰化縣,彰化市,晴,市區道路,機車優先道,同向擦撞,疲勞(患病)駕駛失控,1,1,小客車,男,35,未使用
2023,1,20230105,15,臺南市永康區中正南路794號,臺南市,永康區,晴,市區道路,快車道,同向擦撞,不明原因肇事,1,0,機車,女,69,未使用
2023,1,20230105,15,臺南市永康區中正南路794號,臺南市,永康區,晴,市區道路,快車道,同向擦撞,不明原因肇事,1,0,曳引車,男,63,未使用
2023,1,20230105,15,臺南市永康區中正南路794號,臺南市,永康區,晴,市區道路,快車道,同向擦撞,不明原因肇事,1,0,大客車,男,50,未使用
2023,1,20230105,16,雲林縣斗南鎮158乙縣與雲187鄉道路口,雲林縣,斗南鎮,晴,縣道,交叉口附近,撞號誌、標誌桿,其他引起事故之違規或不當行為,1,0,機車,男,53,未使用
2023,1,20230105,16,雲林縣斗南鎮158乙縣與雲187鄉道路口,雲林縣,斗南鎮,晴,縣道,交叉口附近,撞號誌、標誌桿,其他引起事故之違規或不當行為,1,0,不明,無或物(動物、堆置物),-1,不明
2023,1,20230105,17,新北市樹林區新北市樹林區館前路809378燈桿,新北市,樹林區,雨,市區道路,快車道,衝出路外,不明原因肇事,1,0,機車,男,43,未使用
2023,1,20230105,17,新北市樹林區新北市樹林區館前路809378燈桿,新北市,樹林區,雨,市區道路,快車道,衝出路外,不明原因肇事,1,0,不明,無或物(動物、堆置物),0,不明
2023,1,20230105,18,宜蘭縣蘇澳鎮祥義路75號前0.0公尺附近,宜蘭縣,蘇澳鎮,雨,市區道路,路肩、路緣,其他,未注意車前狀態,1,0,機車,男,37,未使用
2023,1,20230105,18,宜蘭縣蘇澳鎮祥義路75號前0.0公尺附近,宜蘭縣,蘇澳鎮,雨,市區道路,路肩、路緣,其他,未注意車前狀態,1,0,其他車,男,65,非駕駛人
2023,1,20230105,19,屏東縣屏東市海豐街86-10號前0.0公尺,屏東縣,屏東市,晴,市區道路,快車道,穿越道路中,未注意車前狀態,1,2,機車,男,17,未使用
